UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
126942005,Community College of Denver,CCD North,6221 Downing St.,Denver,CO,802161225,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
126951001,Lincoln College of Technology,Main Campus,460 S LIPAN ST,DENVER,CO,802239366,6,"Private for-profit, 2-year",863,0,0,0,0,0,0,0,0,0,0
126979001,Denver Seminary,Main Campus,6399 South Santa Fe Drive,Littleton,CO,80120,2,"Private nonprofit, 4-year or above",858,0,0,0,0,0,0,6,0,0,6
127024001,Westwood College-Denver North,Main Campus,7350 N BROADWAY,DENVER,CO,80221,3,"Private for-profit, 4-year or above",,0,0,0,0,0,0,0,0,0,0
127060001,University of Denver,University Park Campus,2199 S. UNIVERSITY BLVD.,DENVER,CO,80208,2,"Private nonprofit, 4-year or above",,0,0,2,0,0,2,127,12,5,148
127158001,Emily Griffith Opportunity School,Main Campus,1250 WELTON ST,DENVER,CO,802042124,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127185001,Fort Lewis College,Main Campus,1000 RIM DRIVE,DURANGO,CO,813013999,1,"Public, 4-year or above",,0,0,3,0,0,1,26,1,3,34
127200001,Front Range Community College,Westminster Campus,3645 W. 112th Avenue,Westminster,CO,800312199,4,"Public, 2-year",,0,0,0,0,0,0,0,1,0,1
127200002,Front Range Community College,Larimer Campus,4616 South Shields Street,Fort Collins,CO,805263812,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127200003,Front Range Community College,Boulder County Campus,2190 Miller Drive,Longmont,CO,80501,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127200006,Front Range Community College,Brighton Center,1931 East Bridge Street,Brighton,CO,80601,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127219001,Glenwood Beauty Academy,Main Campus,51241 HWY 6 AND 24 STE 1,GLENWOOD SPRINGS,CO,816012577,9,"Private for-profit, less-than 2-year",,0,0,0,0,0,0,0,0,0,0
127228001,Hair Dynamics Education Center,Main Campus,6464 S COLLEGE,FT COLLINS,CO,80525,9,"Private for-profit, less-than 2-year",,0,0,0,0,0,0,0,0,0,0
127273001,Iliff School of Theology,Main Campus,2201 S UNIVERSITY BLVD,DENVER,CO,802104798,2,"Private nonprofit, 4-year or above",199,0,0,0,0,0,0,2,0,0,2
127316001,International Beauty Academy,Main Campus,5707 N. Academy Blvd.,Colorado Springs,CO,809183684,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,0,0,0
127389001,Lamar Community College,Lamar Community College,2401 S MAIN ST,LAMAR,CO,810523999,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127556001,Mesa State College,Mesa State - Main Campus,1100 North Avenue,GRAND JUNCTION,CO,815013122,1,"Public, 4-year or above",,0,0,3,0,0,3,13,4,0,23
127556002,Mesa State College,Mesa State - Montrose Campus,234 South Cascade Avenue,Montrose,CO,81401,1,"Public, 4-year or above",,0,0,0,0,0,0,0,0,0,0
127556003,Mesa State College,Mesa State - Bishop Campus,2508 Blichmann Avenue,Grand Junction,CO,81505,1,"Public, 4-year or above",,0,0,0,0,0,0,0,0,0,0
127565001,Metropolitan State College of Denver,Main Campus,P.O. Box 173362,DENVER,CO,802173362,1,"Public, 4-year or above",,0,0,0,0,0,3,45,8,1,57
127617001,Morgan Community College,MORGAN COMMUNITY COLLEGE,920 Barlow Road,Fort Morgan,CO,80701,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127653001,Naropa University,Main Campus,2130 ARAPAHOE AVE,BOULDER,CO,803026697,2,"Private nonprofit, 4-year or above",1104,0,0,0,0,0,0,2,0,0,2
127680001,National American University-Colorado Springs,NAU-Colorado Springs,5125 NORTH ACADEMY BLVD,COLORADO SPRINGS,CO,809184001,3,"Private for-profit, 4-year or above",285,0,0,0,0,0,0,0,0,0,0
127699001,National American University-Denver,NAU-Denver,1325 S COLORADO BLVD STE 100,DENVER,CO,802223308,3,"Private for-profit, 4-year or above",171,0,0,0,0,0,0,0,0,0,0
127714001,Nazarene Bible College,Main Campus,1111 ACADEMY PK LOOP,COLORADO SPRINGS,CO,809103704,2,"Private nonprofit, 4-year or above",957,0,0,0,0,0,0,0,0,0,0
127732001,Northeastern Junior College,Main Campus,100 COLLEGE AVE,STERLING,CO,80751,4,"Public, 2-year",1541,0,0,0,0,0,0,13,0,0,13
127741001,University of Northern Colorado,Main Campus,CARTER HALL - RM 4000,GREELEY,CO,80639,1,"Public, 4-year or above",,0,0,6,0,0,0,18,6,4,34
127778001,Otero Junior College,Main Campus,1802 COLORADO AVE,LA JUNTA,CO,81050,4,"Public, 2-year",,0,0,0,0,0,0,1,0,0,1
