ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime,
167358001,Northeastern University,Main Campus,MA,24434,0,0,6,0,2,0,31,1,0,40,
167376001,Northern Essex Community College,Main Campus,MA,6526,0,0,0,0,0,0,0,0,0,0,
167534001,Quinsigamond Community College,Main Campus,MA,3618,0,0,1,0,0,0,0,0,0,1,
167729001,Salem State College,Salem State College,MA,10085,0,0,2,0,0,2,31,1,0,36,
167905001,Springfield Technical Community College,Main Campus,MA,0,0,0,1,0,4,0,2,0,0,7,
167987001,University of Massachusetts-Dartmouth,Main Campus,MA,0,0,0,2,0,4,11,68,0,1,86,
168005001,Suffolk University,Main Campus,MA,9103,0,0,1,0,0,0,1,0,0,2,
168148001,Tufts University,Medford/Somerville Campus,MA,9758,0,0,5,0,3,1,32,0,1,42,
168148002,Tufts University,Boston Campus,MA,9758,0,0,0,0,0,0,9,0,0,9,
168263001,Westfield State College,Main Campus,MA,5392,0,0,6,0,0,0,9,0,0,15,
168421001,Worcester Polytechnic Institute,Main Campus,MA,4158,0,0,0,0,0,1,1,1,0,3,
168430001,Worcester State College,Main Campus,MA,0,0,0,0,0,0,0,3,1,1,5,
161767001,Anne Arundel Community College,Anne Arundel Community College,MD,14834,0,0,0,0,0,0,0,0,0,0,
161864001,Baltimore City Community College,Liberty Campus,MD,6814,0,0,0,0,0,2,0,1,0,3,
161873001,University of Baltimore,Main Campus,MD,5421,0,0,0,0,2,0,5,2,0,9,
162007001,Bowie State University,Main Campus,MD,5404,0,0,0,0,5,8,46,6,2,67,
162122003,College of Southern Maryland,Prince Frederick Campus,MD,7741,0,0,0,0,0,0,0,0,0,0,
162584001,Frostburg State University,Main Campus,MD,4993,0,0,5,0,0,7,47,0,3,62,
162779001,Howard Community College,Howard Community College,MD,7523,0,0,0,0,0,0,1,3,0,4,
163046001,Loyola College in Maryland,Main Campus,MD,6028,0,0,0,0,1,0,2,3,0,6,
163259001,University of Maryland-Baltimore,Main Campus,MD,5884,0,0,0,0,1,0,1,0,0,2,
163268001,University of Maryland-Baltimore County,Main Campus,MD,12041,0,0,0,0,0,0,27,9,0,36,
163286001,University of Maryland-College Park,Main Campus,MD,35970,0,0,16,0,8,12,91,35,6,168,
163426001,Montgomery College,Montgomery College:Main Campus,MD,23866,0,0,0,0,1,0,20,0,0,21,
163426003,Montgomery College,Montgomery College:Germantown,MD,23866,0,0,1,0,0,0,3,0,0,4,
163453001,Morgan State University,Main Campus,MD,7208,0,0,0,0,10,1,27,1,0,39,
163657001,Prince George's Community College,Main Campus,MD,11861,0,0,0,0,4,1,0,12,0,17,
163851001,Salisbury University,Main Campus,MD,7581,0,0,4,0,1,1,15,2,0,23,
164076001,Towson University,Main Campus,MD,19758,0,0,4,0,0,13,53,1,2,73,
434672001,The Community College of Baltimore County,CCBC Catonsville Campus,MD,19426,0,0,0,0,0,2,0,1,0,3,
434672002,The Community College of Baltimore County,CCBC Essex Campus,MD,19426,0,0,0,0,0,0,0,0,0,0,
434672003,The Community College of Baltimore County,CCBC Dundalk Campus,MD,19426,0,0,0,0,0,0,0,0,0,0,
161253001,University of Maine,Main Campus,ME,11912,0,0,6,0,0,0,28,2,22,58,
161457001,University of New England,Main Campus,ME,3792,0,0,2,0,0,0,8,0,1,11,
161545001,Southern Maine Community College,Southern Maine Community College,ME,0,0,0,0,0,0,0,2,0,0,2,
161554001,University of Southern Maine,Gorham Campus,ME,10453,0,0,4,0,0,0,2,0,5,11,
161554002,University of Southern Maine,Portland Campus,ME,10453,0,0,0,0,0,0,1,0,0,1,
169248001,Central Michigan University,Main Campus,MI,26611,0,0,5,0,1,1,13,2,6,28,
169275001,Mott Community College,Main Campus,MI,10455,0,0,2,0,1,0,4,1,0,8,
169479001,Davenport University,Davenport University - Grand Rapids Main Campus,MI,11606,0,0,0,0,0,0,9,0,0,9,
169521001,Delta College,Delta College,MI,10406,0,0,1,0,0,1,2,0,0,4,
169798001,Eastern Michigan University,Eastern Michigan University,MI,22837,0,0,4,0,1,4,123,9,1,142,
169910001,Ferris State University,Main Campus,MI,13087,0,0,9,0,0,0,19,0,0,28,
170082001,Grand Valley State University,Allendale Campus,MI,23464,0,0,4,0,0,0,5,0,0,9,
170082002,Grand Valley State University,Pew Campus (Grand Rapids),MI,23464,0,0,0,0,0,0,1,0,0,1,
170240001,Henry Ford Community College,Main Campus,MI,13983,0,0,0,0,0,0,0,7,0,7,
170240002,Henry Ford Community College,Dearborn Heights Center,MI,13983,0,0,0,0,0,0,0,0,0,0,
170444001,Jackson Community College,Main Campus,MI,6173,0,0,0,0,0,0,8,1,0,9,
170541001,Kalamazoo Valley Community College,KALAMAZOO VALLEY COMMUNITY COLLEGE TEXAS TOWNSHIP,MI,11113,0,0,0,0,1,2,0,0,0,3,
