UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
232423004,James Madison University,"Palazzo Capponi (JMU's Semester in Florence, Italy)",Via de-Michelozzi # 2,Firenze (Florence),,50125,1,"Public, 4-year or above",18971,0,0,0,0,0,0,0,0,0,0
232450001,John Tyler Community College,Main Campus,13101 JEFFERSON DAVIS HWY,CHESTER,VA,238315399,4,"Public, 2-year",9692,0,0,0,0,0,0,0,0,0,0
232450002,John Tyler Community College,Featherstone,1807 Hugeunot Road,Midlothian,VA,23112,4,"Public, 2-year",9692,0,0,0,0,0,0,0,0,0,0
232450003,John Tyler Community College,Midlothian,800 Charter Colony Parkway,Midlothian Virginia,VA,23113,4,"Public, 2-year",9692,0,0,0,0,0,0,0,0,0,0
232450004,John Tyler Community College,Johnston-Willis Campus,1051 Johnston Willis Drive,Richmond,VA,23235,4,"Public, 2-year",9692,0,0,0,0,0,0,0,0,0,0
232502001,Everest College-Newport News,Main Campus,803 DILIGENCE DRIVE,NEWPORT NEWS,VA,23606,6,"Private for-profit, 2-year",699,0,0,0,0,0,0,0,0,0,0
232557001,Liberty University,Main Campus,1971 UNIVERSITY BLVD,LYNCHBURG,VA,24502,2,"Private nonprofit, 4-year or above",46312,1,0,5,0,1,2,10,2,6,27
232566001,Longwood University,Main Campus,201 HIGH ST,FARMVILLE,VA,23909,1,"Public, 4-year or above",4832,0,0,3,0,0,1,14,2,0,20
232575001,Lord Fairfax Community College,Middletown,173 SKIRMISHER LANE,MIDDLETOWN,VA,226451745,4,"Public, 2-year",6644,0,0,0,0,0,0,0,0,0,0
232575002,Lord Fairfax Community College,Fauquier,6480 COLLEGE STREET,WARRENTON,VA,20187,4,"Public, 2-year",6644,0,0,0,0,0,0,0,0,0,0
232575003,Lord Fairfax Community College,Luray-Page County Center,334 N. Hawksbill St.,Luray,VA,22835,4,"Public, 2-year",6644,0,0,0,0,0,0,0,0,0,0
232593001,Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing,Main Campus,4169 Pruden Blvd,SUFFOLK,VA,23434,7,"Public, less-than 2-year",12,0,0,0,0,0,0,0,0,0,0
232609001,Lynchburg College,Main Campus,1501 LAKESIDE DR,LYNCHBURG,VA,245013199,2,"Private nonprofit, 4-year or above",2589,0,0,5,1,0,6,5,3,1,21
232618001,Lynchburg General Hospital School of Nursing,Main Campus,1901 TATE SPRINGS RD,LYNCHBURG,VA,24501,5,"Private nonprofit, 2-year",205,0,0,0,0,0,0,0,0,0,0
232672001,Mary Baldwin College,Main Campus,NEW & FREDERICK ST,STAUNTON,VA,24401,2,"Private nonprofit, 4-year or above",1782,0,0,0,0,0,0,1,0,0,1
232681001,University of Mary Washington,University of Mary Washington,1301 COLLEGE AVE,FREDERICKSBURG,VA,224015358,1,"Public, 4-year or above",5381,0,0,7,0,0,2,2,0,0,11
232706001,Marymount University,Main Campus,2807 N GLEBE RD,ARLINGTON,VA,222074299,2,"Private nonprofit, 4-year or above",3480,0,0,1,0,0,0,5,0,0,6
232724001,Danville Regional Medical Center School of Health Professions,DRMC School of Health Professions,142 S MAIN ST,DANVILLE,VA,24541,6,"Private for-profit, 2-year",95,0,0,0,0,0,0,10,0,0,10
232788001,Mountain Empire Community College,Main Campus,U.S. Highway 23 South,BIG STONE GAP,VA,242190700,4,"Public, 2-year",3383,0,0,0,0,0,0,4,0,0,4
232797001,National College-Salem,National College - Salem,1813 E MAIN ST,SALEM,VA,24153,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,1,0,0,1
232797002,National College-Salem,National College - Charlottesville,1819 Emmet Street,Charlottesville,VA,22901,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797003,National College-Salem,National College -Martinsville,905 Memorial Blvd.,Martinsville,VA,24112,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797004,National College-Salem,National College- Lynchburg,104 Candlewood Court,Lynchburg,VA,24502,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797005,National College-Salem,National College - Danville,336 Old Riverside Drive,Danville,VA,24541,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797006,National College-Salem,National College - Princeton,421 Hilltop Drive,Princeton,WV,24740,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797007,National College-Salem,National College - Harrisonburg,1515 Country Club Road,Harrisonburg,VA,22802,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797008,National College-Salem,National College of Business & Technology-Bristol,1328 Highway 11W,Bristol,TN,37620,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
